Household	Health	OwnHome	Instagram	Marital	Sex	Age	Children	Education	JobSat	Income	WorkHrs	Happy
"196"	2	0	1	2	1	1	38	1	14	2	25740	-1	1
"197"	1	2	0	0	5	2	79	0	13	0	0	-1	1
"198"	1	2	1	0	5	1	49	0	16	0	46800	-1	1
"199"	2	2	2	0	5	1	22	0	15	0	1638	-1	2
"200"	1	1	2	0	1	1	30	0	16	0	46800	-1	2
"201"	1	2	2	0	1	1	47	2	15	0	164382.03756	-1	2
"202"	1	0	2	1	4	1	55	1	12	2	46800	-1	2
"203"	1	0	2	2	5	1	30	0	16	2	38610	-1	1
"204"	3	0	2	1	5	1	29	0	16	0	25740	-1	2
"205"	1	2	0	1	5	1	37	0	16	3	3042	60	1
"207"	1	2	2	0	4	2	38	0	16	0	21060	-1	2
"208"	1	0	1	0	2	2	81	0	11	0	0	-1	3
"209"	1	0	2	1	4	1	35	0	14	0	2106	-1	2
"210"	2	4	2	0	1	1	46	1	20	0	0	-1	3
"211"	2	0	2	1	3	1	37	2	12	1	56160	-1	1
"213"	2	1	2	0	1	1	43	1	12	0	0	-1	1
"216"	2	2	0	2	1	1	77	8	12	0	15210	-1	2
"217"	1	0	2	1	5	2	61	1	16	0	25740	-1	2
"218"	3	2	2	0	5	2	45	2	12	0	11115	-1	2
"219"	1	3	2	0	3	1	47	4	13	0	38610	-1	1
"220"	2	3	0	1	1	1	41	1	16	2	56160	40	1
"221"	3	0	1	1	5	2	19	0	12	0	0	-1	2
"222"	8	1	0	0	1	1	50	3	6	4	9945	40	1
"223"	3	3	0	1	5	1	25	0	17	3	11115	50	2
"225"	3	0	1	1	5	1	21	0	14	3	0	-1	2
"226"	5	2	1	0	1	2	48	1	12	0	17550	-1	1
"227"	4	2	0	2	5	1	25	0	17	3	25740	40	2
"228"	3	0	2	2	5	1	31	0	16	0	31590	-1	1
"229"	2	3	0	1	5	2	33	1	18	4	15210	40	2
"230"	2	0	1	0	1	1	72	3	16	0	0	-1	2
"232"	2	2	0	1	1	2	66	2	16	0	0	-1	1
"234"	2	2	0	2	1	1	81	2	19	0	0	-1	2
"235"	4	0	1	1	5	1	23	0	16	0	234	-1	2
"236"	1	2	1	0	3	2	48	2	19	0	56160	-1	3
"237"	3	2	0	0	1	2	62	3	18	3	5265	23	2
"238"	3	3	0	1	1	1	43	3	12	5	6435	40	2
"239"	2	1	2	0	5	2	34	0	16	0	6435	-1	1
"240"	2	0	1	2	1	1	36	2	12	0	25740	-1	1
"241"	2	0	2	2	5	1	37	5	12	2	25740	-1	2
"242"	4	3	2	0	5	1	32	0	14	0	9945	-1	1
"244"	1	0	2	2	2	1	42	1	12	2	31590	-1	1
"245"	3	2	1	0	1	1	51	3	12	0	0	-1	1
"246"	2	1	1	0	1	2	44	0	17	0	65520	-1	2
"247"	2	2	0	1	1	2	36	1	13	0	0	-1	2
"248"	2	0	1	2	1	1	49	0	15	3	38610	-1	2
"249"	3	0	2	1	1	2	49	3	12	0	15210	-1	1
"250"	2	1	0	1	1	2	35	2	16	3	0	33	2
"251"	1	0	1	2	1	1	47	2	20	3	0	-1	2
"252"	3	0	1	2	5	1	29	0	14	3	7605	-1	2
"253"	1	2	0	2	5	1	36	2	18	1	0	40	1
"255"	4	1	0	0	5	1	19	0	12	4	0	-1	3
"256"	3	0	1	2	5	1	25	0	12	3	15210	-1	2
"258"	2	4	1	0	1	1	62	2	13	0	0	-1	1
"260"	1	1	1	0	4	1	41	4	14	0	0	-1	1
"262"	2	1	0	1	5	1	20	0	13	3	0	35	2
"263"	2	0	2	1	5	1	42	2	12	2	8775	-1	1
"264"	1	2	2	0	5	2	30	1	13	0	1638	-1	1
"265"	3	0	2	1	4	2	26	1	17	0	6435	-1	2
"267"	2	3	3	0	5	2	47	1	12	0	0	-1	2
"269"	3	2	0	2	1	1	44	2	11	1	31590	52	2
"270"	2	0	1	2	1	2	75	0	18	0	0	-1	1
"271"	2	2	0	2	1	2	44	3	18	0	0	-1	1
"272"	2	0	1	1	1	2	36	0	16	0	11115	-1	1
"273"	1	2	1	0	3	2	62	2	16	0	25740	-1	2
"274"	2	0	1	1	1	1	37	2	16	1	0	-1	1
"275"	1	2	1	0	2	2	69	2	13	0	0	-1	1
"276"	1	3	0	1	3	1	48	2	15	0	0	60	2
"277"	2	0	1	0	1	2	44	3	20	0	31590	-1	2
"278"	2	1	0	2	1	1	59	0	16	2	17550	40	1
"279"	2	0	1	0	1	2	61	2	14	3	17550	-1	2
"280"	2	0	1	1	1	1	31	2	10	0	25740	-1	1
"281"	2	3	1	0	1	2	54	3	9	0	0	-1	1
"283"	3	1	0	0	1	2	47	4	12	0	0	-1	2
"285"	1	1	1	0	2	2	83	3	12	0	0	-1	2
"286"	2	2	0	2	3	1	38	3	14	3	38610	75	2
"287"	1	0	2	1	1	1	47	1	14	1	0	-1	1
"288"	2	2	0	2	1	1	28	0	14	3	21060	60	2
"289"	2	2	1	0	2	2	73	2	12	0	21060	-1	2
"290"	1	1	1	0	5	2	31	0	17	0	46800	-1	2
"291"	2	0	1	2	1	1	55	0	19	0	74880	-1	1
"293"	1	2	2	0	1	1	50	2	19	0	56160	-1	1
"294"	1	4	2	0	3	2	67	2	11	0	0	-1	1
"295"	2	2	0	0	1	1	41	2	12	0	12870	40	1
"296"	3	0	1	2	5	2	22	0	12	2	234	-1	2
"297"	2	1	1	0	1	2	60	1	19	0	0	-1	2
"298"	2	2	0	1	1	2	36	2	16	0	0	-1	1
"299"	2	2	1	0	1	2	39	3	16	0	164382.03756	-1	2
"301"	2	2	2	0	5	2	23	1	13	0	0	-1	2
"302"	1	4	0	2	4	2	63	4	9	0	0	-1	3
"303"	2	0	2	0	1	1	60	3	13	0	2106	-1	2
"305"	2	1	2	0	1	1	40	5	14	0	21060	-1	2
"306"	2	2	1	0	1	2	30	0	19	0	31590	-1	1
"307"	1	0	1	2	4	2	43	5	12	0	0	-1	1
"309"	1	3	1	0	5	1	99	0	16	0	0	-1	3
"310"	2	0	2	1	5	2	25	2	13	0	936	-1	2
"311"	2	0	1	2	1	1	99	2	20	3	74880	-1	2
"312"	2	0	1	2	1	1	58	3	16	0	164382.03756	-1	2
"313"	2	3	0	2	2	1	60	2	12	2	46800	50	1
"314"	2	0	1	2	1	1	44	3	16	0	17550	-1	2
"316"	2	0	1	2	1	1	66	4	15	2	46800	-1	1
"317"	2	1	2	0	3	1	43	4	12	0	21060	-1	1
"318"	2	0	1	2	1	1	37	2	12	3	11115	-1	1
"319"	2	2	1	0	5	1	28	1	12	0	0	-1	2
"321"	2	1	0	2	5	2	27	4	8	0	0	-1	2
"322"	2	0	1	2	3	2	60	0	18	2	46800	-1	2
"324"	1	4	2	0	3	1	74	8	14	0	0	-1	3
"325"	2	2	0	2	3	2	32	4	12	5	0	-1	3
"326"	2	2	1	0	1	2	68	4	12	0	0	-1	2
"327"	2	2	0	1	5	1	39	3	12	2	21060	55	2
"329"	1	1	1	0	3	2	52	3	16	0	164382.03756	-1	1
"330"	2	2	1	0	1	1	46	2	16	0	164382.03756	-1	2
"331"	3	1	0	2	1	1	56	2	12	0	0	-1	2
"332"	2	0	1	0	1	1	60	2	16	0	46800	-1	1
"333"	2	0	1	1	5	1	22	0	15	3	0	-1	1
"334"	3	4	2	0	1	1	42	4	13	0	2574	-1	1
"335"	2	3	0	0	1	1	35	3	9	1	25740	60	3
"336"	2	0	1	1	3	2	42	3	16	0	56160	-1	2
"338"	2	0	1	2	1	2	32	1	18	0	38610	-1	2
"340"	3	0	1	1	5	1	20	0	14	3	1638	-1	2
"341"	2	2	0	2	1	1	44	2	18	2	38610	45	1
"342"	2	0	1	2	1	2	34	2	12	0	9945	-1	2
"343"	3	2	0	2	1	2	62	1	18	2	74880	48	1
"344"	3	0	3	0	5	1	59	0	16	5	7605	-1	2
"345"	1	1	0	0	5	2	51	0	16	3	21060	40	2
"346"	1	0	2	2	5	1	37	0	19	0	8775	-1	2
"347"	1	0	1	1	3	1	50	3	20	3	0	-1	2
"348"	4	4	3	0	3	2	40	2	15	0	9945	-1	3
